epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.31362,1.06326,3.43672,1.2237,0.57533,0.85,0.87734,0.63464,1.66715,1.06961,1.38576,0,0,0
2,2.98079,1.52337,2.50648,1.72801,0.58198,0.85,0.84748,0.63282,1.66221,1.05763,1.38276,1.17822e-06,1.17822e-06,1.17822e-06
3,3.5871,1.30852,2.24715,1.85017,0.57697,0.85,0.84867,0.63544,1.67436,1.05531,1.38372,2.33288e-06,2.33288e-06,2.33288e-06
4,4.2089,1.72438,2.9843,1.89118,0.57562,0.85,0.8505,0.6361,1.6809,1.04959,1.38079,3.46397e-06,3.46397e-06,3.46397e-06
5,4.82053,1.36355,3.15606,1.67178,0.61659,0.92309,0.90478,0.64243,1.67872,1.04624,1.37582,4.5715e-06,4.5715e-06,4.5715e-06
6,5.47799,1.53588,4.11918,1.92007,0.55772,0.85,0.85624,0.63746,1.64686,1.04235,1.35528,5.65548e-06,5.65548e-06,5.65548e-06
7,6.10907,1.11588,1.91942,1.31309,0.56996,0.85,0.85837,0.62959,1.65397,1.04268,1.35898,6.71588e-06,6.71588e-06,6.71588e-06
8,6.73945,0.9697,2.98112,1.34092,0.55982,0.85,0.85926,0.63096,1.653,1.05288,1.36023,7.75273e-06,7.75273e-06,7.75273e-06
9,7.41395,1.12866,2.38048,1.3997,0.57026,0.86555,0.86032,0.62965,1.63312,1.04508,1.3488,8.76602e-06,8.76602e-06,8.76602e-06
10,7.99941,1.1686,2.38772,1.61714,0.57354,0.86667,0.89572,0.6341,1.62354,1.04389,1.34236,9.75574e-06,9.75574e-06,9.75574e-06
11,8.58529,1.11728,1.92694,1.3479,0.54781,0.86667,0.89537,0.64185,1.62276,1.04542,1.34284,1.07219e-05,1.07219e-05,1.07219e-05
12,9.17603,0.96199,1.93935,1.31892,0.57696,0.86667,0.85429,0.63709,1.61502,1.06113,1.33615,1.16645e-05,1.16645e-05,1.16645e-05
13,9.76444,1.03628,3.10508,1.39811,0.63539,0.9413,0.91253,0.65248,1.62077,1.07438,1.33978,1.25835e-05,1.25835e-05,1.25835e-05
14,10.374,1.01985,2.5786,1.43306,0.65155,0.94049,0.91361,0.65305,1.62248,1.08538,1.33969,1.3479e-05,1.3479e-05,1.3479e-05
15,10.9951,1.20711,2.33849,1.39018,0.63581,0.93873,0.91219,0.64659,1.61024,1.08749,1.33994,1.43509e-05,1.43509e-05,1.43509e-05
16,11.5826,1.08604,1.87274,1.38623,0.64678,0.93825,0.91419,0.64745,1.59321,1.09423,1.33471,1.51993e-05,1.51993e-05,1.51993e-05
17,12.2087,0.89837,1.56687,1.21678,0.65805,0.77291,0.91436,0.64309,1.59673,1.10543,1.34114,1.60241e-05,1.60241e-05,1.60241e-05
18,12.7454,0.992,1.77725,1.38088,0.65805,0.77291,0.91436,0.64309,1.59673,1.10543,1.34114,1.68253e-05,1.68253e-05,1.68253e-05
19,13.4247,0.923,1.40057,1.21168,0.86383,0.63278,0.87345,0.64078,1.62277,1.1313,1.35572,1.7603e-05,1.7603e-05,1.7603e-05
20,13.987,0.79276,1.6826,1.234,0.86383,0.63278,0.87345,0.64078,1.62277,1.1313,1.35572,1.83571e-05,1.83571e-05,1.83571e-05
21,14.5889,0.87628,1.88254,1.31052,0.86759,0.6324,0.85514,0.63954,1.61971,1.15924,1.3551,1.90876e-05,1.90876e-05,1.90876e-05
22,15.1598,0.80919,1.59088,1.12576,0.86759,0.6324,0.85514,0.63954,1.61971,1.15924,1.3551,1.97946e-05,1.97946e-05,1.97946e-05
23,15.7403,1.09697,2.23449,1.37667,0.86676,0.65,0.88086,0.63991,1.62153,1.18345,1.35707,2.0478e-05,2.0478e-05,2.0478e-05
24,16.2931,1.04235,2.37553,1.46608,0.86676,0.65,0.88086,0.63991,1.62153,1.18345,1.35707,2.11379e-05,2.11379e-05,2.11379e-05
25,16.8506,0.74777,1.71744,1.13511,0.86205,0.65,0.85536,0.6291,1.64041,1.23725,1.36501,2.17741e-05,2.17741e-05,2.17741e-05
26,17.4074,0.87533,1.56174,1.15955,0.86205,0.65,0.85536,0.6291,1.64041,1.23725,1.36501,2.23869e-05,2.23869e-05,2.23869e-05
27,17.9787,0.94787,1.6018,1.3476,0.8367,0.65,0.85554,0.61904,1.63674,1.27975,1.36419,2.2976e-05,2.2976e-05,2.2976e-05
28,18.6307,1.09916,1.63831,1.498,0.8367,0.65,0.85554,0.61904,1.63674,1.27975,1.36419,2.35417e-05,2.35417e-05,2.35417e-05
29,19.1917,1.01461,1.34401,1.36954,0.79378,0.65,0.85269,0.60246,1.64469,1.34008,1.37235,2.40837e-05,2.40837e-05,2.40837e-05
30,19.7866,1.2956,2.72193,1.69013,0.79378,0.65,0.85269,0.60246,1.64469,1.34008,1.37235,2.46022e-05,2.46022e-05,2.46022e-05
31,20.362,0.79796,1.37403,1.26482,0.78889,0.65,0.85668,0.61604,1.64478,1.3883,1.3688,2.50971e-05,2.50971e-05,2.50971e-05
32,20.9358,0.80722,1.18229,1.12555,0.78889,0.65,0.85668,0.61604,1.64478,1.3883,1.3688,2.55685e-05,2.55685e-05,2.55685e-05
33,21.523,1.0349,2.75914,1.36171,0.75331,0.65,0.76348,0.524,1.65212,1.45175,1.36806,2.60163e-05,2.60163e-05,2.60163e-05
34,22.0946,0.94751,1.04059,1.37003,0.75331,0.65,0.76348,0.524,1.65212,1.45175,1.36806,2.64405e-05,2.64405e-05,2.64405e-05
35,22.6896,0.82985,1.67637,1.27649,0.74475,0.658,0.76445,0.55886,1.67164,1.49408,1.38103,2.68412e-05,2.68412e-05,2.68412e-05
36,23.2375,0.8062,1.58519,1.14978,0.74475,0.658,0.76445,0.55886,1.67164,1.49408,1.38103,2.72183e-05,2.72183e-05,2.72183e-05
37,23.8173,0.86336,1.28186,1.33612,0.65586,0.69115,0.76414,0.52589,1.67843,1.56812,1.38799,2.75718e-05,2.75718e-05,2.75718e-05
38,24.4521,0.72757,1.0576,1.10234,0.65586,0.69115,0.76414,0.52589,1.67843,1.56812,1.38799,2.79018e-05,2.79018e-05,2.79018e-05
39,25.1948,0.88404,1.96501,1.24547,0.63089,0.5916,0.65432,0.46716,1.69556,1.63543,1.38956,2.82082e-05,2.82082e-05,2.82082e-05
40,25.7988,0.73673,1.09476,1.08555,0.63089,0.5916,0.65432,0.46716,1.69556,1.63543,1.38956,2.84911e-05,2.84911e-05,2.84911e-05
41,26.4571,1.08883,1.97484,1.47698,0.62908,0.59059,0.62851,0.42083,1.69354,1.70296,1.38918,2.87504e-05,2.87504e-05,2.87504e-05
42,27.1364,0.83491,1.18233,1.21803,0.62908,0.59059,0.62851,0.42083,1.69354,1.70296,1.38918,2.89861e-05,2.89861e-05,2.89861e-05
43,27.8355,0.72125,0.85054,1.04968,0.59177,0.50639,0.56484,0.34763,1.67832,1.73996,1.38948,2.91983e-05,2.91983e-05,2.91983e-05
44,28.4581,0.83618,1.12038,1.2153,0.59177,0.50639,0.56484,0.34763,1.67832,1.73996,1.38948,2.93869e-05,2.93869e-05,2.93869e-05
45,29.1165,0.64139,0.98321,1.17146,0.60404,0.5,0.55478,0.33802,1.68817,1.78571,1.3973,2.9552e-05,2.9552e-05,2.9552e-05
46,29.7633,0.7066,0.92927,1.02862,0.60404,0.5,0.55478,0.33802,1.68817,1.78571,1.3973,2.96935e-05,2.96935e-05,2.96935e-05
47,30.382,0.75889,0.95168,1.06262,0.61588,0.5,0.5319,0.31492,1.70378,1.83655,1.40952,2.98114e-05,2.98114e-05,2.98114e-05
48,30.9952,0.71845,0.83153,1.15719,0.61588,0.5,0.5319,0.31492,1.70378,1.83655,1.40952,2.99058e-05,2.99058e-05,2.99058e-05
49,31.6605,0.99491,1.20565,1.40561,0.792,0.5,0.53332,0.31303,1.71798,1.86638,1.42057,2.99766e-05,2.99766e-05,2.99766e-05
50,32.3513,0.94323,1.58466,1.35771,0.792,0.5,0.53332,0.31303,1.71798,1.86638,1.42057,3.00238e-05,3.00238e-05,3.00238e-05
51,32.9698,0.67386,0.89472,1.11653,0.80459,0.49935,0.51524,0.30707,1.71542,1.88779,1.42373,3.00475e-05,3.00475e-05,3.00475e-05
52,33.5617,0.85111,1.78615,1.4156,0.80459,0.49935,0.51524,0.30707,1.71542,1.88779,1.42373,3.00476e-05,3.00476e-05,3.00476e-05
53,34.1099,0.87917,0.8453,1.28763,0.80459,0.49935,0.51524,0.30707,1.71542,1.88779,1.42373,3.00242e-05,3.00242e-05,3.00242e-05
54,34.7254,0.83504,0.89377,1.17742,0.81418,0.49892,0.52206,0.29849,1.71063,1.94746,1.43233,2.99772e-05,2.99772e-05,2.99772e-05
55,35.3678,0.77912,0.73173,1.18895,0.81418,0.49892,0.52206,0.29849,1.71063,1.94746,1.43233,2.99066e-05,2.99066e-05,2.99066e-05
56,35.9748,0.85864,1.08982,1.28624,0.81418,0.49892,0.52206,0.29849,1.71063,1.94746,1.43233,2.98125e-05,2.98125e-05,2.98125e-05
57,36.621,0.72009,0.81182,1.12089,0.81351,0.41599,0.52614,0.29804,1.71118,1.96291,1.43149,2.96948e-05,2.96948e-05,2.96948e-05
58,37.411,0.70098,0.88392,1.09751,0.81351,0.41599,0.52614,0.29804,1.71118,1.96291,1.43149,2.95535e-05,2.95535e-05,2.95535e-05
59,38.0532,0.64261,0.80472,1.08631,0.81351,0.41599,0.52614,0.29804,1.71118,1.96291,1.43149,2.93887e-05,2.93887e-05,2.93887e-05
60,38.7837,0.48169,0.84038,0.94374,0.83183,0.41663,0.52398,0.30381,1.72721,1.9818,1.434,2.92003e-05,2.92003e-05,2.92003e-05
61,39.3354,0.79404,0.81968,1.27053,0.83183,0.41663,0.52398,0.30381,1.72721,1.9818,1.434,2.89884e-05,2.89884e-05,2.89884e-05
62,39.9293,0.86487,0.98058,1.28791,0.83183,0.41663,0.52398,0.30381,1.72721,1.9818,1.434,2.87529e-05,2.87529e-05,2.87529e-05
63,40.514,0.8973,0.73376,1.38092,0.83086,0.41578,0.52938,0.28772,1.71661,2.00897,1.43004,2.84938e-05,2.84938e-05,2.84938e-05
64,41.0547,0.71765,1.04358,1.12912,0.83086,0.41578,0.52938,0.28772,1.71661,2.00897,1.43004,2.82112e-05,2.82112e-05,2.82112e-05
65,41.6984,0.58642,0.68601,1.07818,0.83086,0.41578,0.52938,0.28772,1.71661,2.00897,1.43004,2.7905e-05,2.7905e-05,2.7905e-05
66,42.2831,0.96095,1.21795,1.23868,0.83716,0.41531,0.53014,0.28803,1.73453,2.022,1.44008,2.75753e-05,2.75753e-05,2.75753e-05
67,42.8398,0.8763,1.24274,1.25761,0.83716,0.41531,0.53014,0.28803,1.73453,2.022,1.44008,2.7222e-05,2.7222e-05,2.7222e-05
68,43.4204,0.94439,1.3425,1.41222,0.83716,0.41531,0.53014,0.28803,1.73453,2.022,1.44008,2.68451e-05,2.68451e-05,2.68451e-05
69,44.1173,0.64362,0.65807,1.02875,0.83737,0.49824,0.53146,0.28781,1.74961,2.04747,1.44352,2.64447e-05,2.64447e-05,2.64447e-05
70,44.6771,1.15028,1.14563,1.48693,0.83737,0.49824,0.53146,0.28781,1.74961,2.04747,1.44352,2.60207e-05,2.60207e-05,2.60207e-05
71,45.2592,0.76342,0.63679,1.17174,0.83737,0.49824,0.53146,0.28781,1.74961,2.04747,1.44352,2.55731e-05,2.55731e-05,2.55731e-05
