pred_class,confidence,cat_prob,is_cat,predicted_label,id,x,y,w,h,score,area,energy,mask_file,crop
917,0.2311071753501892,0.002207110315794125,False,not cat,0,0,0,800,554,0.641507220215159,284316,0.1714855433698903,10_mask_000.png,10_crop_000.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,1,0,0,800,554,0.5662951263525129,250982,0.1796888968353298,10_mask_001.png,10_crop_001.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,2,0,0,800,554,0.5749593862802912,254822,0.1881766626568138,10_mask_002.png,10_crop_002.jpg
577,0.21097517013549805,0.0016829240194056183,False,not cat,3,547,0,253,178,0.0568524368229764,25197,0.1984585741811175,10_mask_003.png,10_crop_003.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,4,0,0,800,554,0.6510424187710943,288542,0.2011783053197019,10_mask_004.png,10_crop_004.jpg
577,0.2564624845981598,0.0018519804725656286,False,not cat,5,595,0,205,233,0.0465884476533244,20648,0.2536687631027253,10_mask_005.png,10_crop_005.jpg
577,0.12408214062452316,0.0023670958762522787,False,not cat,6,393,0,407,178,0.0898127256315663,39805,0.2600969305331179,10_mask_006.png,10_crop_006.jpg
921,0.2890937328338623,0.00513504003174603,False,not cat,7,552,80,248,474,0.1047563176892943,46428,0.2644564379336931,10_mask_007.png,10_crop_007.jpg
739,0.051514722406864166,0.004510108847171068,False,not cat,8,640,192,98,149,0.0164733754512263,7301,0.2815533980582524,10_mask_008.png,10_crop_008.jpg
921,0.04240180179476738,0.00653964385855943,False,not cat,9,640,192,92,149,0.0161981046931042,7179,0.2842105263157894,10_mask_009.png,10_crop_009.jpg
917,0.16109858453273773,0.0016016838053474203,False,not cat,10,595,0,205,301,0.0626286101081619,27757,0.2853025936599423,10_mask_010.png,10_crop_010.jpg
577,0.2971896529197693,0.0016451187257189304,False,not cat,11,626,0,174,178,0.039537454873557,17523,0.2860759493670886,10_mask_011.png,10_crop_011.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,12,0,0,800,554,0.6140523465690116,272148,0.2943936195167722,10_mask_012.png,10_crop_012.jpg
364,0.06768282502889633,0.00868257280671969,False,not cat,13,320,467,142,87,0.0150361010829985,6664,0.3006134969325153,10_mask_013.png,10_crop_013.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,14,0,0,800,554,0.5472540613706064,242543,0.3178694158075601,10_mask_014.png,10_crop_014.jpg
577,0.2971896529197693,0.0016451187257189304,False,not cat,15,626,0,174,178,0.0383122743681446,16980,0.3182957393483709,10_mask_015.png,10_crop_015.jpg
917,0.2078908383846283,0.0032621096761431545,False,not cat,16,0,0,631,554,0.4178587545116926,185195,0.3263386396526773,10_mask_016.png,10_crop_016.jpg
921,0.09358369559049606,0.010764867009129375,False,not cat,17,640,205,92,136,0.0141583935017731,6275,0.3295454545454545,10_mask_017.png,10_crop_017.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,18,0,0,800,554,0.4297833935008353,190480,0.33065864259445,10_mask_018.png,10_crop_018.jpg
917,0.3480347990989685,0.002254253748105839,False,not cat,19,88,0,712,281,0.1784814981945431,79103,0.3308619091751621,10_mask_019.png,10_crop_019.jpg
917,0.10074975341558456,0.002964408660773188,False,not cat,20,0,0,488,554,0.3446705776165508,152758,0.3311475409836065,10_mask_020.png,10_crop_020.jpg
921,0.27864181995391846,0.0036814467748627067,False,not cat,21,475,92,325,428,0.09816561371819,43507,0.3338997451146984,10_mask_021.png,10_crop_021.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,22,0,0,800,554,0.3901669675081449,172922,0.3340184994861254,10_mask_022.png,10_crop_022.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,23,0,0,800,554,0.4095036101073793,181492,0.3358438890790825,10_mask_023.png,10_crop_023.jpg
917,0.33200281858444214,0.002245127339847386,False,not cat,24,51,0,749,281,0.2033844765338371,90140,0.3395931142410016,10_mask_024.png,10_crop_024.jpg
126,0.042827095836400986,0.003185057605151087,False,not cat,25,717,0,83,172,0.015828068592022,7015,0.3442622950819672,10_mask_025.png,10_crop_025.jpg
917,0.16224753856658936,0.0027193821442779154,False,not cat,26,51,0,749,554,0.3998352888077621,177207,0.3460270963017209,10_mask_026.png,10_crop_026.jpg
921,0.40981507301330566,0.005150566517841071,False,not cat,27,566,161,234,359,0.0832829422380792,36911,0.3466533466533466,10_mask_027.png,10_crop_027.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,28,0,0,800,554,0.5170442238255482,229154,0.3473810957254666,10_mask_028.png,10_crop_028.jpg
917,0.17621852457523346,0.0029062842077109963,False,not cat,29,0,0,638,554,0.4553564981939184,201814,0.3489346838980091,10_mask_029.png,10_crop_029.jpg
577,0.2971896529197693,0.0016451187257189304,False,not cat,30,626,0,174,178,0.0369539711190501,16378,0.3495934959349593,10_mask_030.png,10_crop_030.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,31,0,0,800,554,0.3722743682302069,164992,0.3570172353148083,10_mask_031.png,10_crop_031.jpg
461,0.07679323107004166,0.00310652848565951,False,not cat,32,622,192,135,290,0.0222879061371338,9878,0.3594306049822064,10_mask_032.png,10_crop_032.jpg
917,0.061939287930727005,0.003802439314313233,False,not cat,33,640,192,117,290,0.0200315884476082,8878,0.3596837944664031,10_mask_033.png,10_crop_033.jpg
