630	590	620	580	580
600	620	650	590	570
630	630	620	570	600
670	630	600	580	570
700	610	610	580	600
710	610	630	580	650
660	600	630	570	690
690	580	610	570	710
700	570	600	610	720
670	540	600	620	640
660	510	610	600	620
660	520	610	590	620
670	610	600	600	620
650	660	580	610	600
620	730	590	620	590
630	750	600	590	620
650	740	600	590	660
670	720	610	620	670
690	730	590	650	670
730	720	570	670	710
720	730	560	620	690
710	700	580	570	660
700	690	590	490	650
730	660	620	600	630
730	660	610	590	620
680	670	600	580	600
640	680	620	580	580
620	700	630	630	610
680	700	630	650	640
750	720	600	650	680
780	740	590	650	650
780	720	590	700	670
780	690	600	730	670
770	660	590	730	690
750	640	570	710	670
670	650	580	680	670
660	620	600	660	670
680	630	620	660	660
690	660	640	630	660
720	690	630	610	660
710	700	580	600	660
720	670	560	620	640
680	660	590	640	600
690	650	610	660	610
690	660	630	660	600
690	670	570	690	650
690	670	560	700	660
670	650	580	690	680
660	670	570	670	680
680	670	570	670	660
690	680	620	680	640
690	680	520	680	640
670	640	740	650	650
650	650	740	620	660
670	660	740	630	660
700	670	700	640	640
690	670	680	650	670
640	660	670	670	700
640	640	650	640	690
650	620	670	650	700
670	620	640	660	710
690	650	640	690	670
670	670	650	670	660
660	660	670	660	640
680	650	670	640	680
710	620	660	640	680
670	640	640	650	710
650	650	660	660	700
640	680	670	640	720
640	660	650	650	710
650	650	630	680	660
640	660	620	710	640
620	670	630	670	630
640	680	630	660	650
650	660	610	660	710
650	630	610	670	720
630	640	610	660	720
590	660	630	630	720
590	680	660	630	680
570	650	650	650	640
580	650	640	650	630
600	670	650	630	650
620	700	660	610	680
610	710	660	620	710
660	690	630	660	720
650	650	620	700	700
670	650	610	690	660
680	670	610	670	650
690	660	610	690	670
670	660	590	650	690
660	630	600	630	720
650	650	600	350	700
670	670	630	630	680
640	690	640	650	690
620	680	620	630	700
620	670	620	650	710
650	690	640	670	760
710	700	640	650	720
690	680	640	650	680
680	680	610	600	670
690	680	610	560	710
700	690	620	680	720
700	700	620	670	730
660	690	630	650	680
630	690	610	640	660
620	690	630	620	670
620	690	660	640	710
630	680	660	630	750
600	680	630	620	730
600	670	630	620	700
610	640	630	630	710
640	650	640	630	720
650	680	650	620	750
630	730	630	610	740
610	730	610	620	690
640	690	620	650	670
690	660	630	640	690
720	650	640	660	720
660	630	640	660	760
650	600	630	680	730
660	590	650	690	710
670	620	670	720	740
680	630	690	700	780
650	620	640	680	780
610	650	640	690	720
610	670	640	700	670
610	690	650	710	690
630	640	610	710	720
590	620	590	700	710
590	620	610	690	740
580	610	630	680	690
580	590	640	690	680
600	580	640	690	710
710	580	660	690	750
720	580	640	680	770
680	590	630	680	760
720	620	630	670	690
740	640	670	690	740
730	660	650	670	780
670	660	640	620	770
700	640	640	620	720
720	630	630	630	680
710	660	640	630	690
680	680	620	660	710
700	680	610	680	740
720	640	630	700	740
740	640	650	710	780
700	660	640	690	680
660	670	620	670	660
680	690	620	660	630
720	670	650	690	620
700	640	660	720	660
650	670	640	720	740
650	700	630	690	810
670	710	630	650	780
670	680	650	620	730
620	650	640	640	660
620	650	620	670	640
660	670	610	730	680
720	660	630	780	700
730	640	640	750	640
690	650	650	690	610
690	670	630	670	600
690	670	620	690	580
660	670	640	700	580
630	670	620	720	610
630	630	580	690	660
620	630	560	660	660
600	640	570	640	660
590	660	570	650	680
580	670	600	660	730
580	650	610	690	690
610	630	620	690	640
680	630	630	670	620
710	640	670	650	640
690	650	680	660	650
650	650	660	670	660
650	630	610	690	640
660	630	590	670	670
680	680	570	650	730
660	700	600	660	680
640	720	620	680	690
660	680	620	680	680
680	690	630	660	720
700	700	620	620	660
670	700	620	640	640
650	700	620	650	630
670	660	600	670	670
710	640	590	680	670
730	640	580	640	690
690	660	590	640	650
650	680	580	660	640
660	670	550	670	660
690	650	690	700	670
720	660	730	700	700
690	670	690	650	700
690	670	710	650	670
730	640	670	650	670
720	650	670	670	660
700	660	670	680	680
650	680	660	650	660
650	700	660	630	660
660	650	650	650	630
670	620	660	650	640
680	630	650	650	650
670	640	640	620	660
660	660	630	610	700
690	640	640	620	680
730	610	630	630	690
740	630	650	670	700
690	640	650	650	710
670	650	650	620	700
680	650	660	620	680
690	640	630	630	650
680	620	620	580	650
630	610	620	550	680
620	620	640	560	670
650	640	660	580	640
660	660	660	620	620
650	620	630	670	610
610	620	630	660	600
620	650	660	650	660
680	690	660	610	720
730	700	630	590	700
700	650	620	590	680
690	630	620	600	680
730	640	630	590	700
750	630	640	600	710
730	650	640	580	710
690	650	630	620	690
710	620	630	630	670
710	620	600	610	650
710	660	580	610	680
660	670	600	630	710
650	660	610	660	740
670	620	610	670	730
700	620	620	680	700
680	620	610	660	710
650	640	600	610	740
660	650	620	590	760
690	630	640	570	750
690	600	660	600	700
650	600	660	610	660
650	610	630	640	640
670	640	610	660	630
660	630	610	630	660
630	610	620	660	660
600	610	630	670	690
620	630	600	730	710
640	650	600	760	690
670	670	610	740	650
670	650	640	690	650
640	640	630	690	640
670	610	610	690	670
700	630	620	690	670
750	630	660	690	630
720	650	660	690	650
690	640	640	650	650
710	630	640	640	680
740	610	640	640	650
700	620	670	660	640
670	650	680	670	620
680	660	640	670	650
690	660	610	650	660
690	620	620	630	660
660	620	630	660	650
630	630	610	660	640
640	640	600	660	640
690	640	580	660	680
700	640	610	650	690
690	620	600	610	670
710	610	590	620	660
750	640	580	660	670
760	650	580	700	670
740	670	560	690	690
660	650	560	640	670
670	610	570	650	630
660	610	580	650	630
650	620	560	660	640
610	650	550	670	650
620	680	580	630	630
630	670	580	620	670
650	640	580	620	660
680	620	570	650	670
700	630	580	640	640
720	650	590	630	630
710	660	620	610	630
650	610	630	610	640
660	610	630	610	640
710	610	610	620	600
750	630	580	630	610
740	620	600	600	610
690	610	620	570	620
690	610	630	570	610
710	610	660	580	580
740	640	610	610	600
710	650	630	660	610
700	620	640	650	620
740	610	640	630	630
760	610	640	620	620
720	630	620	630	640
700	670	620	630	660
720	650	630	630	650
690	630	650	620	620
630	610	660	610	600
620	610	640	630	600
610	620	630	650	670
600	650	630	660	670
600	630	640	670	670
650	620	630	640	700
670	630	640	650	700
700	650	640	670	680
770	650	650	690	670
740	630	610	660	650
710	630	600	620	670
670	630	620	640	700
630	620	630	630	710
570	590	650	650	710
560	490	610	640	680
560	610	630	620	640
610	620	630	630	630
700	640	640	660	620
750	660	620	710	640
740	650	620	730	640
770	640	640	700	640
690	640	670	720	640
680	640	690	670	660
700	630	670	640	680
770	610	650	630	670
760	580	640	620	640
960	580	650	640	650
840	570	660	690	650
800	600	640	710	690
750	610	620	680	690
680	610	620	700	670
650	590	620	750	650
680	610	630	770	640
710	640	650	730	670
750	660	650	680	690
700	670	650	710	700
710	640	650	720	690
730	630	620	740	670
770	630	600	690	660
760	650	620	690	690
710	640	610	720	690
730	630	650	760	670
760	640	650	730	640
770	650	630	720	650
760	660	620	730	670
760	630	640	750	670
680	630	640	720	660
690	620	650	680	640
700	640	640	680	640
700	640	600	680	670
670	630	590	720	690
640	630	590	690	700
660	630	630	670	670
700	640	650	680	620
730	640	580	700	620
700	640	600	680	610
670	630	620	660	630
680	610	640	660	650
700	620	620	690	660
720	640	610	710	650
690	650	640	690	620
700	670	640	670	660
740	640	640	680	680
760	620	600	700	720
720	620	610	680	660
730	620	620	640	630
750	640	620	650	640
750	660	620	650	610
740	640	570	670	590
690	610	580	670	590
680	620	560	640	310
680	630	590	650	630
710	650	600	650	630
670	660	640	670	660
670	620	660	700	670
690	600	670	690	660
740	610	660	640	640
730	640	650	610	640
700	670	620	610	640
760	660	610	600	670
770	640	620	620	620
750	640	630	640	630
700	660	640	620	640
660	660	640	640	660
680	660	610	670	690
680	640	620	710	690
660	640	630	770	690
620	650	630	730	670
640	660	660	700	650
670	650	640	700	640
670	610	630	710	600
650	630	620	680	620
640	630	620	650	640
660	640	610	630	700
710	630	630	640	730
710	620	610	650	690
680	630	600	670	690
700	670	610	660	680
730	670	610	670	690
720	650	640	680	680
670	630	640	690	650
650	620	610	650	660
670	630	610	640	670
700	630	620	640	680
740	630	620	630	680
700	600	640	640	670
690	600	640	610	640
720	600	640	600	630
750	630	620	610	630
780	630	600	650	620
700	640	560	670	600
700	620	570	670	590
680	620	580	660	630
640	670	610	650	640
600	680	690	670	660
580	660	760	690	690
570	630	720	700	690
610	620	690	670	670
660	630	700	650	650
690	650	680	610	630
660	660	660	610	620
590	640	640	620	650
670	650	620	630	660
680	670	600	580	650
670	700	630	580	650
710	710	620	570	700
730	660	580	620	730
670	660	610	700	700
680	660	650	730	660
750	670	640	730	670
760	660	630	700	700
720	630	620	700	710
710	650	610	690	680
750	660	610	650	660
790	650	630	610	650
740	630	600	620	660
740	620	610	600	670
760	630	570	620	680
750	640	560	610	680
700	640	550	610	670
660	620	550	630	710
670	620	560	610	710
680	630	560	600	680
670	650	540	660	660
660	640	550	680	660
660	620	580	710	660
730	620	560	690	680
770	620	570	640	680
740	610	570	610	650
710	620	610	590	640
710	610	630	610	640
680	600	650	600	680
660	600	640	610	650
	610	610	610	620
