pred_class,confidence,cat_prob,is_cat,predicted_label,id,x,y,w,h,score,area,energy,mask_file,crop
917,0.2311071753501892,0.002207110315794125,False,not cat,0,0,0,800,554,0.6382265342945889,282862,0.1947733768885259,10_mask_000.png,10_crop_000.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,1,0,0,800,554,0.6677955776158218,295967,0.2155038759689922,10_mask_001.png,10_crop_001.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,2,0,0,800,554,0.6693343862800782,296649,0.2331288343558282,10_mask_002.png,10_crop_002.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,3,0,0,800,554,0.541534296027659,240008,0.2403027436140019,10_mask_003.png,10_crop_003.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,4,0,0,800,554,0.6273330324895593,278034,0.2495826377295492,10_mask_004.png,10_crop_004.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,5,0,0,800,554,0.5022044223815383,222577,0.270961145194274,10_mask_005.png,10_crop_005.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,6,0,0,800,554,0.5104580324898229,226235,0.2781423523472993,10_mask_006.png,10_crop_006.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,7,0,0,800,554,0.496532039710071,220063,0.2807377049180328,10_mask_007.png,10_crop_007.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,8,0,0,800,554,0.4780753610097516,211883,0.2812160694896851,10_mask_008.png,10_crop_008.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,9,0,0,800,554,0.5204896209374538,230681,0.2817733990147783,10_mask_009.png,10_crop_009.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,10,0,0,800,554,0.4553316786993336,201803,0.2824765063571033,10_mask_010.png,10_crop_010.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,11,0,0,800,554,0.5153339350168877,228396,0.2831683168316831,10_mask_011.png,10_crop_011.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,12,0,0,800,554,0.5186642599266276,229872,0.2865554465161923,10_mask_012.png,10_crop_012.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,13,0,0,800,554,0.4696322202155468,208141,0.2866379310344827,10_mask_013.png,10_crop_013.jpg
917,0.24507185816764832,0.0022179937514010817,False,not cat,14,0,0,723,554,0.3523849277970388,156177,0.2871287128712871,10_mask_014.png,10_crop_014.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,15,0,0,800,554,0.5358235559554697,237477,0.2891272549975621,10_mask_015.png,10_crop_015.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,16,0,0,800,554,0.4499706678690208,199427,0.2903942254303165,10_mask_016.png,10_crop_016.jpg
577,0.17309962213039398,0.0019688548054546118,False,not cat,17,522,0,278,237,0.0731836642597626,32435,0.2921810699588477,10_mask_017.png,10_crop_017.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,18,0,0,800,554,0.4234341155225103,187666,0.2945368171021377,10_mask_018.png,10_crop_018.jpg
917,0.19857506453990936,0.0023384294763673097,False,not cat,19,0,0,764,554,0.4347879061362031,192698,0.2956419316843345,10_mask_019.png,10_crop_019.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,20,0,0,800,554,0.4831949458472852,214152,0.3047619047619048,10_mask_020.png,10_crop_020.jpg
577,0.227456733584404,0.0020340841729193926,False,not cat,21,586,0,214,237,0.0528294223825522,23414,0.3048780487804878,10_mask_021.png,10_crop_021.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,22,0,0,800,554,0.4579512635368728,202964,0.3063063063063063,10_mask_022.png,10_crop_022.jpg
577,0.10474449396133423,0.0024080750881694257,False,not cat,23,355,0,445,168,0.0877414259925818,38887,0.3067484662576687,10_mask_023.png,10_crop_023.jpg
917,0.1582167148590088,0.002233764564152807,False,not cat,24,0,126,426,428,0.1243840252704774,55127,0.3087934560327198,10_mask_024.png,10_crop_024.jpg
921,0.061286021023988724,0.007448560209013522,False,not cat,25,640,206,87,135,0.015038357400688,6665,0.3103448275862069,10_mask_025.png,10_crop_025.jpg
917,0.18927717208862305,0.002700621960684657,False,not cat,26,61,0,739,554,0.3760243682301984,166654,0.3120222376650451,10_mask_026.png,10_crop_026.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,27,0,0,800,554,0.4071660649810307,180456,0.3121098626716604,10_mask_027.png,10_crop_027.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,28,0,0,800,554,0.4832468411541443,214175,0.3127001067235859,10_mask_028.png,10_crop_028.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,29,0,0,800,554,0.4835288808653349,214300,0.313034188034188,10_mask_029.png,10_crop_029.jpg
917,0.20079800486564636,0.0029687208007089794,False,not cat,30,0,0,700,554,0.3150315884469426,139622,0.3131474103585657,10_mask_030.png,10_crop_030.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,31,0,0,800,554,0.4873804151613551,216007,0.3170731707317073,10_mask_031.png,10_crop_031.jpg
917,0.24507185816764832,0.0022179937514010817,False,not cat,32,0,0,723,554,0.29606723826648,131217,0.318606627017842,10_mask_032.png,10_crop_032.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,33,0,0,800,554,0.4679377256307131,207390,0.3190082644628099,10_mask_033.png,10_crop_033.jpg
917,0.2311071753501892,0.002207110315794125,False,not cat,34,0,0,800,554,0.462592509024227,205021,0.3193601765030336,10_mask_034.png,10_crop_034.jpg
